Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,K,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Ratio,RatioSD,Gen 0/1k Op,Gen 1/1k Op,Gen 2/1k Op,Allocated Memory/Op
For,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,3.437 ns,0.0139 ns,0.0130 ns,0.0034 ns,3.411 ns,3.425 ns,3.440 ns,3.446 ns,3.458 ns,"290,913,598.9",0.92,0.01,-,-,-,-
Vector,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,16.689 ns,0.0746 ns,0.0662 ns,0.0177 ns,16.595 ns,16.635 ns,16.678 ns,16.735 ns,16.815 ns,"59,918,410.5",4.48,0.05,-,-,-,-
VectorSpans,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,17.999 ns,0.0506 ns,0.0474 ns,0.0122 ns,17.913 ns,17.962 ns,18.003 ns,18.032 ns,18.079 ns,"55,558,982.6",4.83,0.05,-,-,-,-
Axpy,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,23.923 ns,0.0561 ns,0.0524 ns,0.0135 ns,23.835 ns,23.889 ns,23.918 ns,23.968 ns,24.045 ns,"41,800,896.4",6.42,0.06,-,-,-,-
For,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,3.727 ns,0.0384 ns,0.0359 ns,0.0093 ns,3.682 ns,3.707 ns,3.718 ns,3.751 ns,3.800 ns,"268,323,787.9",1.00,0.00,-,-,-,-
Vector,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,2.363 ns,0.0137 ns,0.0121 ns,0.0032 ns,2.343 ns,2.356 ns,2.364 ns,2.366 ns,2.387 ns,"423,166,784.1",0.63,0.01,-,-,-,-
VectorSpans,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,2.437 ns,0.0111 ns,0.0098 ns,0.0026 ns,2.420 ns,2.431 ns,2.435 ns,2.444 ns,2.458 ns,"410,359,292.0",0.65,0.01,-,-,-,-
Axpy,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,23.044 ns,0.0560 ns,0.0496 ns,0.0133 ns,22.958 ns,23.014 ns,23.036 ns,23.071 ns,23.140 ns,"43,394,548.5",6.19,0.06,-,-,-,-
For,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,67.064 ns,0.2859 ns,0.2674 ns,0.0690 ns,66.722 ns,66.824 ns,67.071 ns,67.218 ns,67.584 ns,"14,911,212.5",0.99,0.00,-,-,-,-
Vector,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,66.864 ns,0.1631 ns,0.1446 ns,0.0386 ns,66.668 ns,66.763 ns,66.830 ns,66.983 ns,67.170 ns,"14,955,807.9",0.99,0.00,-,-,-,-
VectorSpans,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,94.284 ns,0.2014 ns,0.1682 ns,0.0467 ns,93.899 ns,94.183 ns,94.273 ns,94.405 ns,94.561 ns,"10,606,257.3",1.39,0.00,-,-,-,-
Axpy,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,30.995 ns,0.0554 ns,0.0491 ns,0.0131 ns,30.888 ns,30.973 ns,31.003 ns,31.025 ns,31.067 ns,"32,263,629.5",0.46,0.00,-,-,-,-
