Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,K,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Ratio,RatioSD,Gen 0,Gen 1,Gen 2,Allocated,Code Size
NotAlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,19.282 ns,0.1109 ns,0.1037 ns,0.0268 ns,19.103 ns,19.207 ns,19.304 ns,19.357 ns,19.439 ns,"51,861,884.8",4.34,0.04,0.0000,0.0000,0.0000,0 B,587 B
AlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,14.760 ns,0.0612 ns,0.0573 ns,0.0148 ns,14.640 ns,14.729 ns,14.753 ns,14.798 ns,14.864 ns,"67,752,031.3",3.32,0.03,0.0000,0.0000,0.0000,0 B,342 B
SpansOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,23.484 ns,0.0528 ns,0.0494 ns,0.0128 ns,23.377 ns,23.456 ns,23.499 ns,23.520 ns,23.551 ns,"42,581,305.4",5.29,0.04,0.0000,0.0000,0.0000,0 B,533 B
ScalarOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,31.229 ns,0.0917 ns,0.0858 ns,0.0221 ns,31.067 ns,31.185 ns,31.261 ns,31.289 ns,31.373 ns,"32,021,958.2",7.03,0.05,0.0000,0.0000,0.0000,0 B,435 B
AlignedIn,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,14.121 ns,0.0501 ns,0.0444 ns,0.0119 ns,14.037 ns,14.100 ns,14.124 ns,14.158 ns,14.179 ns,"70,817,478.2",3.18,0.02,0.0000,0.0000,0.0000,0 B,374 B
NotAlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,4.511 ns,0.0258 ns,0.0229 ns,0.0061 ns,4.469 ns,4.506 ns,4.511 ns,4.529 ns,4.542 ns,"221,675,681.7",1.02,0.01,0.0000,0.0000,0.0000,0 B,469 B
AlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,3.601 ns,0.0157 ns,0.0147 ns,0.0038 ns,3.566 ns,3.596 ns,3.601 ns,3.611 ns,3.620 ns,"277,732,537.9",0.81,0.01,0.0000,0.0000,0.0000,0 B,225 B
SpansOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,4.345 ns,0.0334 ns,0.0313 ns,0.0081 ns,4.291 ns,4.321 ns,4.350 ns,4.370 ns,4.393 ns,"230,146,951.1",0.98,0.01,0.0000,0.0000,0.0000,0 B,284 B
ScalarOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,5.770 ns,0.0210 ns,0.0197 ns,0.0051 ns,5.747 ns,5.755 ns,5.761 ns,5.785 ns,5.803 ns,"173,313,298.1",1.30,0.01,0.0000,0.0000,0.0000,0 B,356 B
AlignedIn,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,2.750 ns,0.0148 ns,0.0132 ns,0.0035 ns,2.724 ns,2.742 ns,2.751 ns,2.755 ns,2.777 ns,"363,678,663.8",0.62,0.01,0.0000,0.0000,0.0000,0 B,197 B
NotAlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,4.441 ns,0.0360 ns,0.0319 ns,0.0085 ns,4.399 ns,4.419 ns,4.438 ns,4.457 ns,4.515 ns,"225,152,958.3",1.00,0.00,0.0000,0.0000,0.0000,0 B,457 B
AlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,3.292 ns,0.0172 ns,0.0161 ns,0.0041 ns,3.265 ns,3.282 ns,3.291 ns,3.302 ns,3.325 ns,"303,749,791.5",0.74,0.01,0.0000,0.0000,0.0000,0 B,220 B
SpansOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,3.274 ns,0.0261 ns,0.0218 ns,0.0060 ns,3.248 ns,3.258 ns,3.264 ns,3.285 ns,3.311 ns,"305,463,860.3",0.74,0.01,0.0000,0.0000,0.0000,0 B,277 B
ScalarOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,4.079 ns,0.0391 ns,0.0347 ns,0.0093 ns,4.028 ns,4.058 ns,4.071 ns,4.095 ns,4.162 ns,"245,155,279.5",0.92,0.01,0.0000,0.0000,0.0000,0 B,220 B
AlignedIn,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4,1.5,2.403 ns,0.0145 ns,0.0135 ns,0.0035 ns,2.377 ns,2.398 ns,2.400 ns,2.413 ns,2.424 ns,"416,115,399.3",0.54,0.00,0.0000,0.0000,0.0000,0 B,190 B
NotAlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,56.981 ns,0.2908 ns,0.2720 ns,0.0702 ns,56.541 ns,56.774 ns,57.063 ns,57.214 ns,57.355 ns,"17,549,811.3",1.32,0.01,0.0000,0.0000,0.0000,0 B,587 B
AlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,57.830 ns,0.2145 ns,0.2007 ns,0.0518 ns,57.480 ns,57.667 ns,57.787 ns,57.966 ns,58.174 ns,"17,291,952.2",1.34,0.01,0.0000,0.0000,0.0000,0 B,342 B
